Material Name,Fit Type,Low Temp,High Temp,Perc Err,erf param,A,B,C,D,a,b,c,d,e,f,g,h,i
raw_fit,comppoly,0.001,1173.150,11.491,0.057,0.00e+00,-1.41506e+00,1.72407e+00,-4.37855e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
NIST_fit,polylog,23.000,300.000,2.0,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-5.10788e+03,1.92404e+04,-3.07891e+04,2.71348e+04,-1.42264e+04,4.43822e+03,-7.63078e+02,5.57966e+01,0.00e+00
