Fit Type,Low Temp,High Temp,a,b,c,d,A,erf param
3 order k/T,0.322,3.032,3.40509e-04,-1.80723e-03,3.15702e-03,2.53032e-04,0.00000e+00,0.00000e+00
3 order loglog,1.000,1.000,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
loglog,0.322,1.000,3.40509e-04,-1.80723e-03,3.15702e-03,2.53032e-04,0.00000e+00,0.00000e+00
