Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d
Nppoly,0.063,3.250,1.794,0.000,7.68393e-04,1.53513e-04,1.66582e-04,3.25270e-05
Nppoly,0.063,3.250,1.794,0.000,7.68393e-04,1.53513e-04,1.66582e-04,3.25270e-05
