Fit Type,Low Temp,High Temp,a,A,B,C,D,E,F,erf param
5 order k/T,0.000,0.000,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5 order loglog,0.045,1670.150,1.49415e-02,-6.00108e-02,-4.05315e-02,1.58854e-01,1.18030e+00,-1.26515e+00,0.00000e+00,0.00000e+00
loglog,0.000,1670.150,0.00000e+00,1.49415e-02,-6.00108e-02,-4.05315e-02,1.58854e-01,1.18030e+00,-1.26515e+00,-1.00000e+00
