Material Name,Fit Type,Low Temp,High Temp,Perc Err,a,b,c,d,erf param,e,f,g,h,i
raw_fit,loglog,0.264,1.061,6.458,-2.22005e+00,2.07719e+00,2.92536e+01,-1.85104e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
raw_fit,Nppoly,0.264,1.061,6.458,-2.22005e+00,2.07719e+00,2.92536e+01,-1.85104e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
NIST_fit,polylog,4.000,300.000,2.0,2.33917e+01,-1.48573e+02,4.22192e+02,-6.53666e+02,0.00e+00,6.07040e+02,-3.46152e+02,1.18428e+02,-2.22781e+01,1.77019e+00
