Material Name,Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d,A,B,C,D,e,f,g,h
raw_fit,comppoly,0.010,1180.000,9.354,8.42953e+01,6.09794e-02,1.44929e-02,-3.56864e-04,2.39860e-06,-4.93652e-01,1.91869e+00,-8.74471e-01,1.61197e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00
other_fit,TchebyLnT,0.100,300.000,??,0.00e+00,5.00000e+00,-2.31000e+00,5.71000e+00,-7.43946e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.43023e+00,-3.91106e-01,-3.69351e-01,9.05807e-02
