Fit Type,Low Temp,High Temp,a,b,c,d,A,erf param
3 order k/T,0.134,4.842,2.64819e-01,-2.54810e+00,6.89859e+00,3.33889e+00,0.00000e+00,0.00000e+00
3 order loglog,1.000,1.000,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
loglog,0.134,0.000,2.64819e-01,-2.54810e+00,6.89859e+00,3.33889e+00,0.00000e+00,0.00000e+00
