Material Name,Fit Type,Low Temp,High Temp,Perc Err,erf param,A,B,C,D,a,b,c,d,e,f,g,h,i
raw_fit,polylog,0.133,297.000,16.452,0.000,-2.49885e+00,1.85394e+00,-5.84988e-01,3.33076e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
NIST_fit,polylog,4.000,300.000,5.0,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.73800e+00,-3.06770e+01,8.94300e+01,-1.36990e+02,1.24690e+02,-6.95560e+01,2.33200e+01,-4.31350e+00,3.38290e-01
