Fit_Name,fit_type,Tlow,Thigh,a,b,c,d,e,f,g,h,i
Stainless_Steel_310_data,loglog,0.374,1273.15,-6.327084703743471e-10,8.538670375281162e-07,-0.0004251617094015039,0.10977927071525358,0.8796430758936759,-7.366058673721833,21.066400264073796,-19.284773758613632,502.25323935249014
Stainless_Steel_310_NIST,polylog,4.0,300.0,0.0,-0.12395,1.2583,-5.1269,10.853,-13.078,9.1059,-2.1967,-0.81907
