Fit Type,Low Temp,High Temp,a,b,c,d,erf param
3 order k/T,0.264,1.061,-1.85104e+01,2.92536e+01,2.07719e+00,-2.22005e+00,0.00000e+00
3 order loglog,1.000,1.000,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
loglog,0.264,1.061,-1.85104e+01,2.92536e+01,2.07719e+00,-2.22005e+00,0.00000e+00
