Fit_Name,fit_type,Tlow,Thigh,a,b,c,d,e,f,g,h,i
Kapton_data,loglog,0.536,307.0,2.33440319798999e-08,-3.5839443660802453e-06,0.00014450580749667598,0.0017520847098981577,19.0452381723582,-141.60030154289925,350.5439234778476,-289.3883505147762,108.10510758401591
Kapton_NIST,polylog,4.0,300.0,0.0,-0.27133,3.42413,-17.9835,50.9157,-83.8572,79.9313,-39.5199,5.73101
