Material Name,Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d,A,B,C,D,e,f,g,h,i
raw_fit,comppoly,0.536,307.000,26.389,2.24263e+01,5.92139e-03,-1.12401e-03,1.08371e-04,-2.81020e-06,-3.56625e+00,2.46247e+00,-5.59319e-01,2.90842e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
NIST_fit,polylog,4.000,300.000,2.0,0.00e+00,5.73101e+00,-3.95199e+01,7.99313e+01,-8.38572e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.09157e+01,-1.79835e+01,3.42413e+00,-2.71330e-01,0.00e+00
