Fit_Name,fit_type,Tlow,Thigh,a,b,c,d,e,f,g,h,i
Wood_Balsa_11_lbft3_NIST,polylog,88.0,300.0,0.0,0.0,38.1922,-515.727,2895.71,-8654.16,14520.8,-12969.6,4815.4
Wood_Balsa_6_lbft3_NIST,polylog,88.0,300.0,0.0,0.0,34.5351,-462.538,2577.31,-7647.58,12745.1,-11310.0,4172.45
Wood_Beechwood_flatwise_NIST,polylog,92.0,300.0,0.0,5.59956,-65.2253,289.844,-541.904,39.845,1470.51,-2191.85,1035.33
Wood_Beechwood_grain_NIST,polylog,92.0,300.0,0.0,0.0,-11.8296,157.102,-868.607,2559.33,-4238.47,3740.69,-1375.11
Wood_MapleOak_Wagner,powerlaw,0.02,1.0,0.0093,2.7,,,,,,,
