Material Name,Fit Type,Low Temp,High Temp,Perc Err,a,b,c,d,e,f,g,h,i
Wood_Balsa_11_lbft3_NIST_fit,polylog,88.000,300.000,3.0,4.81540e+03,-1.29696e+04,1.45208e+04,-8.65416e+03,2.89571e+03,-5.15727e+02,3.81922e+01,0.00e+00,0.00e+00
Wood_Balsa_6_lbft3_NIST_fit,polylog,88.000,300.000,1.5,4.17245e+03,-1.13100e+04,1.27451e+04,-7.64758e+03,2.57731e+03,-4.62538e+02,3.45351e+01,0.00e+00,0.00e+00
Wood_Beechwood_flatwise_NIST_fit,polylog,92.000,300.000,1.5,1.03533e+03,-2.19185e+03,1.47051e+03,3.98450e+01,-5.41904e+02,2.89844e+02,-6.52253e+01,5.59956e+00,0.00e+00
Wood_Beechwood_grain_NIST_fit,polylog,92.000,300.000,1.0,-1.37511e+03,3.74069e+03,-4.23847e+03,2.55933e+03,-8.68607e+02,1.57102e+02,-1.18296e+01,0.00e+00,0.00e+00
Wood_MapleOak_other_fit,powerlaw,0.034,1000.000,0.00e+00,0.00930000e+00,2.70000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
