Fit_Name,fit_type,Tlow,Thigh,a,b,c,d,e,f,g,h,i
G10_parent_data,loglog,0.304381212,2.970783932,0.014188608782015987,-0.03690453279794033,0.03903476611306433,-0.006433998904860372,106.45769341602983,-378.676307942288,255.95343958199783,-48.928868913675835,1.6109728314907126
G10_FR4_data,loglog,0.304381212,2.970783932,0.014188608782015987,-0.03690453279794033,0.03903476611306433,-0.006433998904860372,106.45769341602983,-378.676307942288,255.95343958199783,-48.928868913675835,1.6109728314907126
G10_CR_Normal_NIST,polylog,4.0,300.0,0.0,0.0397,-0.6905,4.4954,-14.663,26.272,-26.068,13.788,-4.1236
G10_CR_Warp_NIST,polylog,4.0,300.0,-0.11701,1.48806,-7.95635,23.1778,-39.8754,41.1625,-24.8998,8.80228,-2.64827
