Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d,A,B,C,D
Nppoly,3.220,60.000,4.035,3.07772e-01,1.81895e-02,-6.08627e-04,5.47749e-06,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
polylog,69.800,448.000,4.045,2.79098e+01,-3.85396e+01,1.82888e+01,-2.81150e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
comppoly,3.220,448.000,4.045,6.67600e+01,3.07772e-01,1.81895e-02,-6.08627e-04,5.47749e-06,2.79098e+01,-3.85396e+01,1.82888e+01,-2.81150e+00
