Fit Type,Low Temp,High Temp,a,b,c,d,erf param
3 order k/T,0.337,3.213,-2.26171e-04,9.70551e-04,4.61593e-03,-1.19627e-03,0.00000e+00
3 order loglog,1.000,1.000,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
loglog,0.337,3.213,-2.26171e-04,9.70551e-04,4.61593e-03,-1.19627e-03,0.00000e+00
