Fit Type,Low Temp,High Temp,Perc Err,erf param,A,B,C,D
Nppoly,0.000,0.000,0.000,-1.000,0.00e+00,0.00e+00,0.00e+00,0.00e+00
polylog,50.000,296.000,2.060,-1.000,4.79082e+00,8.57758e-01,-1.38664e+00,2.47355e-01
polylog,0.001,296.000,2.060,-1.000,4.79082e+00,8.57758e-01,-1.38664e+00,2.47355e-01
