Fit Type,Low Temp,High Temp,Perc Err,a,b,c,d,erf param
3 order Nppoly,0.134,4.842,14.228,3.99669e-03,5.20942e-03,-2.17074e-03,2.49809e-04,0.00000e+00
3 order polylog,1.000,1.000,0.000,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
comppoly,0.134,4.842,14.228,3.99669e-03,5.20942e-03,-2.17074e-03,2.49809e-04,0.00000e+00
