Fit_Name,fit_type,Tlow,Thigh,a,b,c,d,e,f,g,h,i
Polyurethane_1.99_lbft3_Freon_NIST,polylog,76.0,300.0,0.0,0.0,-37.1669,470.284,-2476.94,6950.1,-10956.7,9201.61,-3218.68
Polyurethane_2.0_lbft3_CO2_NIST,polylog,100.0,300.0,0.0,19.6609,-235.635,1090.29,-2214.43,778.842,4592.45,-7642.66,3788.43
Polyurethane_3.06_lbft3_He_NIST,polylog,30.0,300.0,0.0,0.020625,-1.5468,14.958,-63.034,142.038,-178.376,117.81,-33.898
Polyurethane_4.00_lbft3_Freon_NIST,polylog,88.0,300.0,0.0,-2.9863,43.065,-273.18,989.238,-2206.76,3024.61,-2347.94,789.79
