Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d,A,B,C,D
Nppoly,0.536,21.800,26.166,22.426,5.92139e-03,-1.12401e-03,1.08371e-04,-2.81020e-06,0.00e+00,0.00e+00,0.00e+00,0.00e+00
polylog,22.500,307.000,26.389,22.426,-3.56625e+00,2.46247e+00,-5.59319e-01,2.90842e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00
comppoly,0.536,307.000,26.389,22.426,5.92139e-03,-1.12401e-03,1.08371e-04,-2.81020e-06,-3.56625e+00,2.46247e+00,-5.59319e-01,2.90842e-02
