Fit Type,Low Temp,High Temp,a,A,B,C,D,E,F,erf param
5 order k/T,0.000,0.000,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5 order loglog,0.045,1672.000,1.96111e-02,-8.95072e-02,7.31188e-03,1.71624e-01,1.11162e+00,-1.21629e+00,0.00000e+00,0.00000e+00
loglog,0.000,1672.000,0.00000e+00,1.96111e-02,-8.95072e-02,7.31188e-03,1.71624e-01,1.11162e+00,-1.21629e+00,-1.00000e+00
