Fit Type,Low Temp,High Temp,Perc Err,erf param,A,B,C,D
Nppoly,0.000,0.000,11.286,0.057,0.00e+00,0.00e+00,0.00e+00,0.00e+00
polylog,0.061,1173.150,11.491,0.057,-1.41506e+00,1.72407e+00,-4.37855e-01,4.84062e-02
comppoly,0.001,1173.150,11.491,0.057,0.00e+00,-1.41506e+00,1.72407e+00,-4.37855e-01
