Thermal Conductivity of Amorphous Teflon (AF 1600) at High Pressure,S. P. Andersson-- O. Andersson-- G. Bäckström ,International Journal of Thermophysics 1997
T(K),k(W/m/K),k/T
1.50E+02,9.92E-02,6.60E-04
1.60E+02,1.04E-01,6.48E-04
1.70E+02,1.06E-01,6.23E-04
1.85E+02,1.08E-01,5.86E-04
2.01E+02,1.12E-01,5.58E-04
2.36E+02,1.17E-01,4.96E-04
2.45E+02,1.21E-01,4.93E-04
2.58E+02,1.23E-01,4.78E-04
2.73E+02,1.29E-01,4.74E-04
2.81E+02,1.29E-01,4.60E-04
2.96E+02,1.32E-01,4.46E-04
