Material Name,Fit Type,Low Temp,High Temp,Perc Err,erf param,A,B,C,D,a,b,c,d,e
raw_fit,polylog,0.116,9.232,23.505,-1.00000e+00,-2.31297e+00,1.48727e+00,2.62388e-01,4.44392e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
other_fit,lowTextrapolate,0.010,2.000,??,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.00000e+00,1.00000e-02,2.00000e+00,2.70000e-02,1.00000e-02
