Material Name,Fit Type,Low Temp,High Temp,Perc Err,a,b,c,d,e,f,g,h,i
Polystyrene_1.99_lbft3_Freon_NIST_fit,polylog,90.000,300.000,2.0,-1.55750e+03,3.98470e+03,-3.94024e+03,1.64967e+03,1.28010e+01,-2.94262e+02,1.19590e+02,-2.06301e+01,1.36067e+00
Polystyrene_2.0_lbft3_NIST_fit,polylog,33.000,300.000,2.0,-1.14545e+03,4.08602e+03,-6.23429e+03,5.26011e+03,-2.64991e+03,7.97037e+02,-1.32524e+02,9.39680e+00,0.00e+00
Polystyrene_3.12_lbft3_other_fit,polylog,7.000,300.000,2.0,0.00e+00,-1.41280e-01,1.41740e+00,-5.82100e+00,1.27220e+01,-1.59690e+01,1.16430e+01,-4.64490e+00,-1.51940e+00
Polystyrene_3.12_lbft3_NIST_fit,polylog,7.000,300.000,2.0,-1.51940e+00,-4.64490e+00,1.16430e+01,-1.59690e+01,1.27220e+01,-5.82100e+00,1.41740e+00,-1.41280e-01,0.00e+00
Polystyrene_6.24_lbft3_NIST_fit,polylog,4.000,300.000,3.0,7.39582e+00,-5.96737e+01,1.60580e+02,-2.40330e+02,2.18817e+02,-1.24155e+02,4.29088e+01,-8.26683e+00,6.80820e-01
