Fit_Name,fit_type,Tlow,Thigh,a,b,c,d,e,f,g,h,i
Polystyrene_1.99_lbft3_Freon_NIST,polylog,90.0,300.0,1.36067,-20.6301,119.59,-294.262,12.801,1649.67,-3940.24,3984.7,-1557.5
Polystyrene_2.0_lbft3_NIST,polylog,33.0,300.0,0.0,9.3968,-132.524,797.037,-2649.91,5260.11,-6234.29,4086.02,-1145.45
Polystyrene_3.12_lbft3_NIST,polylog,7.0,300.0,0.0,-0.14128,1.4174,-5.821,12.722,-15.969,11.643,-4.6449,-1.5194
Polystyrene_6.24_lbft3_NIST,polylog,4.0,300.0,0.68082,-8.26683,42.9088,-124.155,218.817,-240.33,160.58,-59.6737,7.39582
