Phonon Scattering and Transmission at Silicon-Helium Interfaces,J. R. Olson,Cornell University 1993
T(K),k(W/m/K),k/T
8.80E-02,1.90E-03,2.16E-02
9.98E-02,2.63E-03,2.64E-02
0.117,3.24E-03,2.77E-02
0.137,3.34E-03,2.44E-02
0.163,4.12E-03,2.53E-02
0.191,5.39E-03,2.82E-02
0.224,6.90E-03,3.08E-02
0.289,8.78E-03,3.04E-02
0.347,9.47E-03,2.73E-02
0.421,1.27E-02,3.02E-02
0.51,1.61E-02,3.16E-02
0.612,2.28E-02,3.73E-02
0.731,2.55E-02,3.49E-02
0.868,3.27E-02,3.77E-02
1.064,5.69E-02,5.35E-02
