Cryogenic Materials Repository,Nachman et al.,2025
T [K],k [W/m/K],k/T
0.09272929824561404,0.0004579372700619951,0.004938431312712483
0.10260916145833332,0.0005883267029775473,0.005733666415512519
0.11110018121042582,0.0007382900972992916,0.006645264564429074
0.09078803871456484,0.0004874884788594095,0.005369523185670529
0.10275486429652536,0.0005709966545293847,0.0055568819874223015
0.11826579550158259,0.0008819530191577565,0.007457380347523681
0.1475070310831153,0.002072817102187952,0.01405232745156391
0.15936984576480412,0.003136107729387313,0.019678175092266444
0.13025429017857143,0.0011827022595950606,0.009079948598803473
0.14659794232883427,0.0019653823024516847,0.013406615885802338
0.16638971007791964,0.004061843734358526,0.024411628173739715
0.1749477961210283,0.005591168278722036,0.03195906666268654
0.18989541693906373,0.009974536231184846,0.05252647163351822
0.2033517030328028,0.016224769326564775,0.07978673935151429
0.21568446000859437,0.024897191725672133,0.11543340546963864
0.2269114642782283,0.036532419899956155,0.1609985639824782
0.24086145998985145,0.0574122271875393,0.23836203263883865
0.2569558897870967,0.09033707793861809,0.3515664809764343
0.19244278365384615,0.010801919140829423,0.05613054922474635
0.21495197171020564,0.023942354388400342,0.1113846697841832
0.236146676982262,0.0492451732241109,0.20853638024222512
0.25680162247983873,0.09101970869284591,0.35443587861284553
0.27904209979838707,0.15591386451788614,0.5587467433428027
0.32592919791666664,0.3764815038097229,1.1551021087284774
0.3501260401503312,0.5563050488944004,1.5888708210778708
0.37483467272727267,0.7547042606528356,2.0134323624910593
0.2779074553571429,0.15966434032317064,0.5745234150627002
0.3190739723118279,0.3278146232083916,1.0273938072517603
0.3583769902205729,0.6388189200160295,1.7825333027738497
0.39864390156249996,0.9968055380621628,2.500491125425839
0.4371105703125,1.4325802638610092,3.2773864581605197
0.5610888895089285,3.0192216149817663,5.381004100124356
0.6041687822580646,4.195412437878586,6.944106615701568
0.6487867954545454,5.4105878729672465,8.33954684477902
0.4227302088317384,0.9687307076178592,2.291605112147186
0.49750177509469706,2.1406271632890013,4.302752815065922
0.5685680163810484,3.4099935179483016,5.997512029700523
0.6378288087121212,5.117072090658037,8.022641844902282
0.7087113983100233,6.814374321173057,9.61516117480607
0.781642106060606,8.80036403332393,11.258815211064869
0.857312203125,11.239564290561443,13.11023481246617
0.9368190191761364,12.516015327527763,13.36012086788618
0.6639512094865274,6.073825974047511,9.148000466396859
0.8066638191287878,10.098102422992827,12.518352978690638
0.940152946969697,12.902215446520115,13.72352816433386
1.0737103124999998,17.530542229336067,16.327068879983464
1.218540606060606,16.67351775635046,13.683185995954554
1.3975763773379328,19.36742615752478,13.85786599685904
1.5383001905241933,19.187710420533744,12.473319927234302
1.7054332683284459,22.566267984944524,13.231985328316307
1.7856702,22.72647278143197,12.727138965208676
1.9406597824074074,25.605058548727484,13.193996588605634
1.6184781869201632,20.266761245107073,12.52210960202876
1.8609968391812866,23.8861510497365,12.835137893218992
2.1091136631016045,27.28548276527836,12.936942774887285
