Fit Type,Low Temp,High Temp,Perc Err,a,b,c,d,erf param
3 order Nppoly,0.134,4.842,4.852,3.33889e-03,6.89859e-03,-2.54810e-03,2.64819e-04,0.00000e+00
3 order polylog,1.000,1.000,0.000,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
comppoly,0.134,4.842,4.852,3.33889e-03,6.89859e-03,-2.54810e-03,2.64819e-04,0.00000e+00
