Phonon Scattering and Transmission at Silicon-Helium Interfaces,J. R. Olson,Cornell University 1993
T(K),k(W/m/K),k/T
5.75E-02,1.98E-05,3.44E-04
7.70E-02,2.96E-05,3.84E-04
0.105,5.84E-05,5.56E-04
0.141,1.16E-04,8.23E-04
0.198,2.32E-04,1.17E-03
0.264,4.59E-04,1.74E-03
0.344,8.05E-04,2.34E-03
0.452,1.47E-03,3.25E-03
0.586,2.55E-03,4.35E-03
0.812,5.13E-03,6.32E-03
1.05,8.69E-03,8.28E-03
1.39,1.56E-02,1.12E-02
1.75,2.35E-04,1.34E-04
