Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d,A,B,C,D
Nppoly,0.045,114.450,5.951,119.471,5.79186e-02,3.93602e-03,-6.84706e-05,3.22930e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00
polylog,120.000,1672.000,5.946,119.471,-1.56968e+00,2.82413e+00,-1.09799e+00,1.61695e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00
comppoly,0.045,1672.000,5.946,119.471,5.79186e-02,3.93602e-03,-6.84706e-05,3.22930e-07,-1.56968e+00,2.82413e+00,-1.09799e+00,1.61695e-01
