Fit_Name,fit_type,Tlow,Thigh,a,b,c,d,e,f,g,h,i
Stainless_Steel_304_data,loglog,0.3846,1672.0,-9.729200376379826e-10,1.23116954017754e-06,-0.0005800239607949509,0.1378260455086207,-1.1327819354566442,10.584076193393225,-32.39697813277676,33.92092330489871,525.2360328552695
Stainless_Steel_316_data,loglog,0.0454,1670.15,5.123388271750273e-08,-1.842488677284751e-05,0.0014816414314379914,0.0837197830952949,-0.011570262498951241,0.29577553283804203,-0.8731242404376874,1.661379712527454,151.54837217578543
Stainless_Steel_304_NIST,polylog,4.0,300.0,-0.0199,0.165,-0.4658,0.4256,0.2334,-0.626,0.2543,1.3982,-1.4087
Stainless_Steel_304L_NIST,polylog,4.0,300.0,-0.0199,0.165,-0.4658,0.4256,0.2334,-0.626,0.2543,1.3982,-1.4087
Stainless_Steel_310_NIST,polylog,4.0,300.0,0.0,-0.12395,1.2583,-5.1269,10.853,-13.078,9.1059,-2.1967,-0.81907
Stainless_Steel_316_NIST,polylog,4.0,300.0,-0.0199,0.165,-0.4658,0.4256,0.2334,-0.626,0.2543,1.3982,-1.4087
Stainless_Steel_310_data,loglog,0.374,1273.15,0.16684155141546878,-0.43437439970965736,0.3851176416047092,-0.04379683496225863,0.129704949520723,-0.873406898185158,2.374213910613129,-1.391512045935428,1.325401666433459
Stainless_Steel_321_data,loglog,0.392950009,1623.193816,0.00011463506327834533,-0.0015316385253885444,0.009595434783638218,0.05537793348572947,0.26299876032746455,-1.9345070513870608,5.1131307990181805,-3.61880918991259,10.553667357839908
