Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d
Nppoly,0.698,4.020,7.990,1.05799e-03,4.36685e-03,-1.26809e-03,9.26410e-05,0.00e+00
polylog,1.000,1.000,0.000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nppoly,0.698,4.020,7.990,0.00e+00,1.05799e-03,4.36685e-03,-1.26809e-03,9.26410e-05
