Fit_Name,fit_type,Tlow,Thigh,a,b,c,d,e,f,g,h,i
Constantan_ExcelNIST5a,TchebyLnT,0.1,300.0,6.0,-2.31,5.71,-0.421155,4.51269,-0.681198,-0.450256,0.10042,0.0645863
Constantan_data,polylog,0.088,1070.0,0.08870795800395309,-0.40368916984617476,0.10662109681480426,1.9256882316275097,-1.2200852497130363,,,,
