Material Name,Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d,A,B,C,D,e,f,g,h,i
raw_fit,comppoly,0.088,1070.000,12.812,7.65103e+01,1.34066e-02,4.98846e-02,-1.78900e-03,1.72076e-05,1.73139e+01,-1.92446e+01,7.46542e+00,-9.25392e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
raw_fit,polylog,298.000,1070.000,2.167,1.09377e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.26435e+01,5.28094e+00,-6.94991e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
raw_fit,Nppoly,3.030,96.800,2.256,9.98910e-02,2.82456e-02,-6.33191e-04,3.63199e-06,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
other_fit,TchebyLnT,0.100,300.000,??,0.00e+00,6.00000e+00,-2.31000e+00,5.71000e+00,-4.21155e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.51269e+00,-6.81198e-01,-4.50256e-01,1.00420e-01,6.45863e-02
