Fit Type,Low Temp,High Temp,a,b,c,d,A,erf param
3 order k/T,0.698,4.020,9.26410e-02,-1.26809e+00,4.36685e+00,1.05799e+00,0.00000e+00,0.00000e+00
3 order loglog,1.000,1.000,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
loglog,0.698,0.000,9.26410e-02,-1.26809e+00,4.36685e+00,1.05799e+00,0.00000e+00,0.00000e+00
