Material Name,Fit Type,Low Temp,High Temp,Perc Err,erf param,A,B,C,D,a,b,c,d,e,f,g,h,i
raw_fit,polylog,0.001,972.000,12.931,-1.00000e+00,0.00e+00,-1.53358e+01,2.26108e+01,-9.56794e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
NIST_fit,polylog,5.000,116.000,1.5,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.10350e-02,-1.01835e+00,4.54083e+00,-5.03374e+00,3.20536e+00,-1.12933e+00,1.74057e-01,-3.81510e-03,0.00e+00
