Fit Type,Low Temp,High Temp,a,A,B,C,D,E,F,erf param
5 order k/T,0.000,0.000,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5 order loglog,0.385,1672.000,2.46899e-02,-1.20817e-01,4.55795e-02,2.48566e-01,9.51432e-01,-1.15362e+00,0.00000e+00,0.00000e+00
loglog,0.000,1672.000,0.00000e+00,2.46899e-02,-1.20817e-01,4.55795e-02,2.48566e-01,9.51432e-01,-1.15362e+00,-1.00000e+00
