Fit Type,Low Temp,High Temp,Perc Err,a,b,c,A,B,C,D,E,erf param
3 order RRadebaugh 2,0.300,30.000,7.000,7.11786e-02,3.45290e-03,-6.00000e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3 order RRadebaugh 2,28.000,1707.000,2.000,-4.97617e+00,8.31635e+00,-3.59726e+00,7.16110e-01,-2.75070e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
loglog,0.300,1707.000,0.000,7.11786e-02,3.45290e-03,-6.00000e-05,-4.97617e+00,8.31635e+00,-3.59726e+00,7.16110e-01,-2.75070e-01,3.20000e+01
