Phonon Scattering and Transmission at Silicon-Helium Interfaces,J. R. Olson,Cornell University 1993
T(K),k(W/m/K),k/T
6.21E-02,1.27E-05,2.05E-04
8.13E-02,2.34E-05,2.88E-04
0.107,5.13E-05,4.79E-04
0.142,1.07E-04,7.54E-04
0.202,2.71E-04,1.34E-03
0.258,5.19E-04,2.01E-03
0.332,1.00E-03,3.01E-03
0.432,1.86E-03,4.31E-03
0.575,3.63E-03,6.31E-03
0.79,6.98E-03,8.84E-03
1.01,1.13E-02,1.12E-02
1.76,2.63E-02,1.49E-02
