Phonon Scattering and Transmission at Silicon-Helium Interfaces,J. R. Olson,Cornell University 1993
T(K),k(W/m/K),k/T
6.09E-02,1.93E-04,3.17E-03
8.38E-02,3.64E-04,4.34E-03
0.113,6.57E-04,5.81E-03
0.145,1.06E-03,7.31E-03
0.2,1.98E-03,9.90E-03
0.257,3.26E-03,1.27E-02
0.332,5.31E-03,1.60E-02
0.434,8.74E-03,2.01E-02
0.579,1.41E-02,2.44E-02
0.796,2.30E-02,2.89E-02
1.02,3.19E-02,3.13E-02
1.38,4.70E-02,3.41E-02
1.79,6.12E-02,3.42E-02
