Fit_Name,fit_type,Tlow,Thigh,a,b,c,d,e,f,g,h,i
Aluminum_data,loglog,0.264,1.061,-4.355148575377198,9.862358478401868,9.7799861553013,-3.145860037320634,-2.3184110058081573,-3.4319374958979045,1.57318468364889,1.023279463789367,0.5198321876550539
Aluminum_1100_data,loglog,0.264,1.061,-4.355148575377198,9.862358478401868,9.7799861553013,-3.145860037320634,-2.3184110058081573,-3.4319374958979045,1.57318468364889,1.023279463789367,0.5198321876550539
Aluminum_1100_NIST,polylog,4.0,300.0,1.77019,-22.2781,118.428,-346.152,607.04,-653.666,422.192,-148.573,23.3917
Aluminum_3003F_NIST,polylog,4.0,300.0,0.0,-0.172667,1.63939,-6.18721,11.9165,-12.6905,7.4624,-1.1437,0.63736
Aluminum_5083O_NIST,polylog,4.0,300.0,0.0,0.067336,-0.77295,3.6873,-9.3977,13.612,-11.112,5.751,-0.90933
Aluminum_6061T6_NIST,polylog,4.0,300.0,0.0,-0.00571,0.04179,-0.09464,0.02803,0.08084,-0.07277,1.0957,0.07918
Aluminum_6061T6_Sauvage,Chebyshev,0.095,20.0,0.23970341,1.88576787,-0.439839595,0.0953687043,0.00205443158,-0.00289908152,-0.000133420775,0.000114453429,-8.72830666e-06
Aluminum_6063T5_NIST,polylog,4.0,296.0,1.45769,-18.8102,102.387,-305.997,547.832,-601.154,394.955,-141.134,22.4014
