Fit_Name,fit_type,Tlow,Thigh,a,b,c,d,e
Phosphorbronze_ExcelNIST5a,polylog,1.0,80.0,-0.656571,1.41239,0.155107,-0.286123,0.0593604
Phosphorbronze_data,polylog,3.22,448.0,-1.164005263170721,8.496956651733544,-22.645462525056452,26.85690592744396,-10.970447146308965
