Fit Type,Low Temp,High Temp,Perc Err,a,b,c,A,B,C,D,E,erf param
3 order RRadebaugh 1,0.050,30.000,0.000,5.10400e-02,5.60000e-03,-2.70000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3 order RRadebaugh 1,30.000,1670.000,0.000,-4.88198e+00,8.09584e+00,-3.49853e+00,6.86560e-01,-2.52200e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
loglog,0.050,1670.000,2.000,5.10400e-02,5.60000e-03,-2.70000e-04,-4.88198e+00,8.09584e+00,-3.49853e+00,6.86560e-01,-2.52200e-01,3.01995e+01
