Fit Type,Low Temp,High Temp,a,b,c,d,A,B,C,D,erf param
3 order k/T,0.393,966.613,8.01975e-10,-9.72458e-07,1.68253e-04,7.76656e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3 order loglog,1174.082,1623.194,-1.53618e-01,5.42456e-01,1.73227e+00,-4.53001e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
loglog,0.393,1623.194,8.01975e-10,-9.72458e-07,1.68253e-04,7.76656e-02,-1.53618e-01,5.42456e-01,1.73227e+00,-4.53001e+00,1.15954e+03
