Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d
3 order Nppoly,0.309,4.015,5.398,2.98036e-03,9.72794e-03,-4.47993e-03,5.71214e-04,0.00e+00
3 order polylog,1.000,1.000,0.000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nppoly,0.309,4.015,5.398,0.00e+00,2.98036e-03,9.72794e-03,-4.47993e-03,5.71214e-04
