Fit Type,Low Temp,High Temp,a,b,c,d,A,B,C,D,erf param
3 order k/T,0.385,18.964,-0.00000,0.00005,0.00288,0.07264,0,0,0,0,0
3 order loglog,20.117,871.000,0.25458,-1.85597,4.88590,-3.41924,0,0,0,0,0
loglog,0.385,871.000,-0.00000,0.00005,0.00288,0.07264,0.25458,-1.85597,4.88590,-3.41924,20.00000
