Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d,A,B,C,D
Nppoly,0.393,112.580,5.641,116.307,6.04956e-02,3.56046e-03,-5.97515e-05,2.72011e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00
polylog,120.000,1623.194,2.031,116.307,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.24785e+00,2.17727e+00,-7.41366e-01,1.03982e-01
comppoly,0.393,1623.194,4.704,116.307,6.04956e-02,3.56046e-03,-5.97515e-05,2.72011e-07,-1.24785e+00,2.17727e+00,-7.41366e-01,1.03982e-01
