Effect of cryogenic treatment on thermal conductivity properties of copper,D. S. Nadig-- V. Ramakrishnan-- P. Sampathkumaran-- C. S. Prashanth,AIP Conference Proceedings 2012
T(K),k(W/m/K),k/T
1.75E+02,8.06E+02,4.61E+00
2.25E+02,5.75E+02,2.55E+00
2.75E+02,5.00E+02,1.82E+00
3.00E+02,4.60E+02,1.53E+00
3.25E+02,4.54E+02,1.40E+00
