Fit Type,Low Temp,High Temp,Perc Err,erf param,A,B,C,D
polylog,0.115,19.700,52.718,-1.000,-2.03845e+00,1.68231e+00,-5.59596e-02,2.74147e-02
polylog,0.115,19.700,52.718,-1.000,-2.03845e+00,1.68231e+00,-5.59596e-02,2.74147e-02
