THERMAL CONDUCTIVITY TESTS OF FIVE BRASS SUPERLOY RODS,A. B. Epple-- J. R. Akerman,ENGINEERING RESEARCH INSTITUTE THE UNIVERSITY OF MICHIGAN ANN ARBOR 1957
T(K),k(W/m/K),k/T
2.94E+02,8.33E-01,2.83E-03
3.01E+02,8.39E-01,2.79E-03
3.09E+02,8.19E-01,2.65E-03
3.20E+02,8.48E-01,2.65E-03
3.34E+02,8.94E-01,2.67E-03
3.53E+02,9.40E-01,2.67E-03
3.79E+02,9.80E-01,2.59E-03
4.14E+02,9.91E-01,2.40E-03
4.66E+02,1.04E+00,2.23E-03
5.29E+02,1.11E+00,2.10E-03
