THERMAL CONDUCTIVITY TESTS OF FIVE BRASS SUPERLOY RODS,A. B. Epple-- J. R. Akerman,ENGINEERING RESEARCH INSTITUTE THE UNIVERSITY OF MICHIGAN ANN ARBOR 1957
T(K),k(W/m/K),k/T
2.91E+02,7.66E-01,2.63E-03
2.98E+02,7.62E-01,2.55E-03
3.07E+02,7.61E-01,2.48E-03
3.16E+02,7.86E-01,2.49E-03
3.30E+02,7.98E-01,2.42E-03
3.49E+02,8.09E-01,2.32E-03
3.76E+02,8.40E-01,2.23E-03
4.14E+02,9.29E-01,2.25E-03
4.70E+02,9.33E-01,1.99E-03
