THERMAL CONDUCTIVITY TESTS OF FIVE BRASS SUPERLOY RODS,A. B. Epple-- J. R. Akerman,ENGINEERING RESEARCH INSTITUTE THE UNIVERSITY OF MICHIGAN ANN ARBOR 1957
T(K),k(W/m/K),k/T
2.82E+02,8.97E-01,3.18E-03
2.93E+02,9.16E-01,3.12E-03
3.05E+02,9.50E-01,3.12E-03
3.18E+02,9.52E-01,3.00E-03
3.32E+02,1.00E+00,3.01E-03
3.32E+02,1.00E+00,3.01E-03
3.57E+02,1.02E+00,2.86E-03
3.88E+02,1.06E+00,2.73E-03
4.29E+02,1.19E+00,2.77E-03
4.83E+02,1.22E+00,2.52E-03
