Crowley,assembly_Tlow_0.27K,2022
T,k,koT
0.545,0.00326729,0.005995027522935779
0.598,0.00359763,0.006016103678929767
0.644,0.004153168,0.006449018633540372
0.687,0.004377157,0.0063714075691411924
0.727,0.004892547,0.006729775790921595
0.765,0.005065606000000001,0.006621707189542485
0.798,0.00559046,0.007005588972431078
0.828,0.006007949,0.007255977053140098
0.862,0.005847516,0.006783661252900232
0.889,0.006776359,0.007622451068616423
0.917,0.007167207,0.007815929116684842
0.944,0.007053197,0.007471606991525424
0.97,0.007229622,0.007453218556701031
0.994,0.008118538999999998,0.008167544265593558
1.02,0.007343518,0.007199527450980393
1.043,0.008086506,0.007753121764141899
1.066,0.008325794,0.007810313320825515
1.089,0.008565081,0.007865088154269973
1.108,0.008756062,0.007902583032490975
1.207,0.009780348,0.008103022369511183
1.294,0.011029547,0.008523606646058732
1.375,0.011748746,0.008544542545454545
1.449,0.012465859,0.00860307729468599
1.859,0.014817424,0.007970642280796126
2.261,0.019114715,0.008454097744360902
2.673,0.023032627,0.008616770295548073
3.72,0.027341337,0.007349821774193548
4.842,0.033861005,0.0069931856670797194
