Crowley,Tlow_1.4K,2022
T,k,koT
1.4875,16.546909062112036,11.12397247873078
1.5025,12.869818159420655,8.565602768333214
1.5175,16.546909062112285,10.90405869002457
1.535,15.167999973602814,9.881433207558837
1.5575,14.34065452049713,9.207482838200404
1.61625,15.205267786805777,9.407744957033737
1.7112500000000002,15.91048948280017,9.297583335456636
1.8175,16.486956493046552,9.071227781593702
1.93625,18.291651174103606,9.446947023423425
2.06875,18.143540638280864,8.770291547205252
2.2175000000000002,18.90439879407979,8.525095284816139
2.375,20.46818178256059,8.618181803183406
2.5375,21.93719004446692,8.645198047080559
2.71,22.024242385913215,8.127026710669083
2.9749999999999996,22.568978118485987,7.586211132264198
3.355,24.42969581978969,7.281578485779341
4.015,26.416286468871508,6.57939887144994
