Crowley,Tlow_1.4K,2022
T,k,koT
1.4775,8.731423773307695,5.909593078380842
1.5575,9.630246808795224,6.183144018488105
1.6600000000000001,9.549994752055296,5.753008886780298
1.79,10.524484012469086,5.87960000696597
1.94,11.255350957779443,5.801727297824455
2.0975,12.120782612319505,5.778680625658882
2.2725,12.20162064661257,5.369250009510482
2.4699999999999998,13.482790814506917,5.458619762958266
2.6725,14.70146487665028,5.501015856557635
3.0075000000000003,15.00930539755353,4.990625236094274
3.49,16.496591114220188,4.726816938171973
4.02,16.995114472067545,4.2276404159372
