Crowley,tube_Tlow_0.1K,2022
T,k,koT
0.1335,0.000479637,0.003592786516853932
0.14826,0.000564881,0.0038100701470389856
0.16627,0.000648124,0.003898021290671799
0.18578,0.000769241,0.004140601787059964
0.20623,0.000896959,0.004349313872860399
0.22706,0.001040699,0.004583365630229895
0.2487,0.00115587,0.004647647768395657
0.26927,0.001378122,0.0051179930924351025
0.29148,0.00142653,0.004894092219020173
0.31272,0.00164869,0.005272096444103351
0.33344,0.001851019,0.005551280590211132
0.35471,0.001959962,0.005525533534436582
0.37606,0.002108821,0.005607671648141254
0.3976,0.002245013,0.005646410965794769
0.41826,0.002502205,0.005982415244106536
0.43948,0.002593236,0.0059006917265859654
0.45977,0.002876361,0.006256086739021684
0.48118,0.00288188,0.005989193233301467
0.50163,0.003180144,0.006339620836074398
0.52282,0.003226373,0.00617109712711832
0.54248,0.003647159,0.006723121589736028
0.56318,0.003625093,0.00643682836748464
0.58344,0.003868496,0.006630494995200878
0.60097,0.004661074,0.007755917932675508
0.6217,0.004102341,0.0065985861347916995
0.64157,0.004447972,0.006932948859828233
0.66073,0.004786749,0.007244636992417477
0.68048,0.004812678,0.007072475311544792
0.69906,0.005295118,0.007574625926243812
0.71833,0.00527865,0.007348502777275069
0.73924,0.005024031,0.006796210973432174
0.75793,0.005799474,0.007651727732112464
0.77819,0.005514397,0.007086183322838895
0.7967,0.006216173,0.0078024011547634
0.8161,0.006102797,0.007478001470408038
0.83515,0.006390055,0.007651385978566725
0.85395,0.006652312,0.007790048597693073
0.87306,0.006718982,0.007695899479989921
0.89303,0.006596697,0.0073868705418630954
0.91203,0.007108892,0.007794581318596976
0.93056,0.007469252,0.00802662052957359
0.94828,0.007998957,0.008435226937191545
0.96628,0.00805969,0.008340946723516993
0.98533,0.007790589,0.007906578506693188
1.00381,0.008211602,0.008180434544385889
1.02213,0.008465246,0.008281966090419026
1.04304,0.007575611,0.007263011006289309
