Cryogenic Materials Repository,Nachman et al.,2025
T [K],k [W/m/K],k/T
0.07635721944444444,0.00011093945476923075,0.0014529006631775986
0.07874325669642857,0.00011607452250276617,0.001474088415599285
0.08292481547619049,0.00012944011167611725,0.0015609333699787649
0.08844897222222221,0.00015263013445211124,0.0017256292596440586
0.09154380215946843,0.00015947618193578702,0.0017420751397017684
0.09331612363636363,0.00016247014327410228,0.0017410725707726522
0.09672834523809523,0.00017282914185818776,0.0017867476325866185
0.10060149342105264,0.00019419860042173794,0.0019303749260356255
0.1055007188235294,0.00021856383822863116,0.0020716810337019784
0.11117490892857143,0.00025193577048319,0.0022661207723143335
0.13446698333333332,0.00033042700818653354,0.0024573095937419106
0.13628002314814813,0.0003358405445415034,0.002464341704553541
0.13875002976190476,0.0003559320542393335,0.0025652755163376425
0.14194823958333333,0.0003814933988541656,0.0026875528712013573
0.14545725925925923,0.0004105473735065401,0.002822460533061407
0.1495329674908425,0.00045020411387874704,0.003010734832814161
0.15410778125000002,0.0004890299537387194,0.0031732982577005295
0.15863749310776942,0.0005295766873408067,0.0033382819973147328
0.1858877916666667,0.0006002185352952536,0.0032289292906957723
0.1894882272727273,0.0006448122764562156,0.003402914712628283
0.1917503916666667,0.0006841127062355921,0.0035677252092649373
0.194554125,0.000713906107524553,0.0036694472940347733
0.20049966086956522,0.0007937882012700868,0.003959050094286616
0.2040470815886699,0.0008273568617566915,0.004054735090132414
0.20761494444444445,0.0008665206524824304,0.0041736911319228374
0.21147124305555556,0.0009136657493371109,0.004320520067577614
0.21544261052631578,0.0009551690145474021,0.004433519498366506
0.21947005308529946,0.0010065144868985508,0.004586113106316869
0.24018843750000002,0.0010203996417103307,0.0042483295712780955
0.2458609214285714,0.0011401322234940656,0.0046373055826413705
0.24793466369047618,0.0011834573817384438,0.004773263101346258
0.2531365447368421,0.0012545885050092944,0.0049561729868500435
0.25901238214285716,0.001325134834398368,0.005116106123712247
0.26586739285714284,0.001409592193862881,0.005301861874503316
0.26946894347826084,0.0014400105612097352,0.005343883204581261
0.27672295202020203,0.0015121222432284483,0.005464390402708831
0.2807688125,0.0015487047809501656,0.005515943053504796
0.28859150641025644,0.0016495363672600419,0.005715817446529736
0.29785740625,0.0015778684895852197,0.0052973955203949865
0.30402039999999997,0.0016863978424373224,0.005546989091644253
0.3107304,0.001808088906532026,0.005818834933859146
0.3189115625,0.0019328703952058923,0.0060608351106927714
0.3281328232323233,0.0020499044390261656,0.006247178867488061
0.33491345,0.0021213255443457337,0.006333951486110019
0.34545459821428576,0.002245194802212443,0.006499247119066416
0.3529302222222222,0.0023409846001012755,0.006632995568816084
0.3606664,0.0024237051668483563,0.006720074747324276
0.37277825,0.002570803309019943,0.006896333970718364
0.36774470000000004,0.002440050222810501,0.006635174409884087
0.380524,0.0026025094957475075,0.006839278194667111
0.4056292009803921,0.0029241422395755484,0.007208904665906683
0.419905640625,0.0031073955308165997,0.007400223360161249
0.43468000000000007,0.0032955987319109596,0.007581666356655377
0.4462020000000001,0.0034228664349471504,0.007671114058088377
0.46252835416666666,0.003618801566270935,0.007823956161111244
0.47468340384615393,0.0037890129883763053,0.007982189724088887
0.4421845071428572,0.0033529389668822403,0.007582669480093299
0.4629955086381494,0.0035903488520279063,0.007754608381814597
0.4831875504396782,0.003838654366354229,0.007944439716754358
0.504241349119411,0.004123613300100405,0.008177856312858387
0.5268006,0.004434861302823221,0.008418481874969812
0.5460185,0.004695482399516295,0.008599493239727767
0.57009705,0.005016366809068348,0.008799145354406497
0.5902599171591802,0.005291418835923177,0.008964557277393776
0.6159723625012328,0.005624416241140937,0.009130955516092137
0.5284899464285715,0.004391938786934744,0.008310354466749235
0.5614620888888888,0.004873988251326015,0.008680885758415932
0.5978396056680241,0.005367202220632589,0.008977662519757778
0.7014178743951207,0.006742262237395702,0.009612333080633285
0.7396884333333333,0.007256965168248707,0.009810840404176534
0.7747644916666667,0.0077246252162291125,0.009970288131832119
0.8130004928571428,0.008283508248969534,0.01018881085773841
0.6399497272615063,0.005943546473502097,0.00928752091033137
0.6989667770197251,0.006723594440842831,0.009619333367332693
0.7583145782194971,0.007501689135870475,0.009892581985545162
0.8153356616164493,0.008317219410450659,0.01020097587043022
0.8704337954006196,0.00909938560778335,0.010453851465630803
0.9278719049835655,0.009810043940864868,0.010572627415676114
0.9866581684760363,0.010577903937995065,0.010720940925602825
