Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d,A,B,C,D
Nppoly,0.010,80.200,9.421,6.09794e-02,1.44929e-02,-3.56864e-04,2.39860e-06,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
polylog,85.400,1180.000,9.354,-4.93652e-01,1.91869e+00,-8.74471e-01,1.61197e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
comppoly,0.010,1180.000,9.354,8.42953e+01,6.09794e-02,1.44929e-02,-3.56864e-04,2.39860e-06,-4.93652e-01,1.91869e+00,-8.74471e-01,1.61197e-01
