Fit Type,Low Temp,High Temp,a,b,c,d,A,erf param
3 order k/T,0.298,2.851,1.14031e-03,-5.86097e-03,8.60986e-03,-1.14537e-04,0.00000e+00,0.00000e+00
3 order loglog,1.000,1.000,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
loglog,0.298,1.000,1.14031e-03,-5.86097e-03,8.60986e-03,-1.14537e-04,0.00000e+00,0.00000e+00
