Thermal conductivity of manganin below 1 K,I. Peroni-- E. Gottardi-- A. Peruzzi-- G. Ponti-- G. Ventura ,Nuclear Physics B 1999
T (K),k (W/m/K),k/T
1.53E-07,1.49E-08,9.73E-02
5.70E-07,6.06E-08,1.06E-01
1.97E-06,2.29E-07,1.17E-01
2.69E-06,3.35E-07,1.24E-01
3.83E-06,4.55E-07,1.19E-01
5.29E-06,5.67E-07,1.07E-01
1.95E-05,2.14E-06,1.10E-01
2.86E-05,3.27E-06,1.14E-01
6.57E-05,6.07E-06,9.24E-02
9.24E-05,8.61E-06,9.32E-02
2.00E-04,1.93E-05,9.64E-02
,,
