Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d
3 order Nppoly,0.303,2.977,3.265,-7.52786e-04,1.52769e-02,-8.17215e-03,1.34033e-03,0.00e+00
3 order polylog,1.000,1.000,0.000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nppoly,0.303,2.977,3.265,0.00e+00,-7.52786e-04,1.52769e-02,-8.17215e-03,1.34033e-03
