Phonon Scattering and Transmission at Silicon-Helium Interfaces,J. R. Olson,Cornell University 1993
T(K),k(W/m/K),k/T
50,2950,5.90E+01
61,1930,3.16E+01
74,1550,2.09E+01
75,1370,1.83E+01
76,1400,1.84E+01
88,1100,1.25E+01
91,1000,1.10E+01
101,858,8.50E+00
102,851,8.34E+00
163,385,2.36E+00
201,266,1.32E+00
202,270,1.34E+00
250,190,7.60E-01
251,191,7.61E-01
296,152,5.14E-01
